,SettlementPoint,Year,Month,AveragePrice
482,LZ_NORTH,2017,01,23.603526244952892
483,LZ_NORTH,2017,02,19.56123695976155
484,LZ_NORTH,2017,03,21.85401617250674
485,LZ_NORTH,2017,04,21.989860917941588
486,LZ_NORTH,2017,05,24.56413189771198
487,LZ_NORTH,2017,06,26.901724617524334
488,LZ_NORTH,2017,07,31.193593539703908
489,LZ_NORTH,2017,08,27.068559892328402
490,LZ_NORTH,2017,09,23.976105702364393
491,LZ_NORTH,2017,10,21.941843876177657
492,LZ_NORTH,2017,11,22.271182197496522
493,LZ_NORTH,2017,12,21.41320323014805
494,LZ_NORTH,2018,01,37.742664872139976
495,LZ_NORTH,2018,02,21.853845007451564
496,LZ_NORTH,2018,03,22.654824797843663
497,LZ_NORTH,2018,04,24.380417246175238
498,LZ_NORTH,2018,05,37.48606998654105
499,LZ_NORTH,2018,06,31.31860917941585
500,LZ_NORTH,2018,07,79.92103633916555
501,LZ_NORTH,2018,08,31.98746971736205
502,LZ_NORTH,2018,09,27.89934631432545
503,LZ_NORTH,2018,10,31.66368775235532
504,LZ_NORTH,2018,11,31.98873435326843
505,LZ_NORTH,2018,12,31.147900403768507
506,LZ_NORTH,2019,01,24.373041722745622
507,LZ_NORTH,2019,02,20.849776453055142
508,LZ_NORTH,2019,03,28.60629380053909
509,LZ_NORTH,2019,04,23.719652294853965
510,LZ_NORTH,2019,05,24.009811574697174
511,LZ_NORTH,2019,06,25.2130876216968
512,LZ_NORTH,2019,07,29.855585464333778
513,LZ_NORTH,2019,08,126.75060565275906
514,LZ_NORTH,2019,09,80.86581363004174
515,LZ_NORTH,2019,10,28.750619111709284
516,LZ_NORTH,2019,11,24.163616133518776
517,LZ_RAYBN,2016,01,19.22800941492939
518,LZ_RAYBN,2016,02,15.408589928057554
519,LZ_RAYBN,2016,03,17.12935309973046
520,LZ_RAYBN,2016,04,18.86210013908206
521,LZ_RAYBN,2016,05,18.328546433378197
522,LZ_RAYBN,2016,06,23.327385257301806
523,LZ_RAYBN,2016,07,27.481951547779268
524,LZ_RAYBN,2016,08,30.164024226110364
525,LZ_RAYBN,2016,09,26.480305980528517
526,LZ_RAYBN,2016,10,24.459798115746967
527,LZ_RAYBN,2016,11,18.877287899860917
528,LZ_RAYBN,2016,12,25.32899057873486
529,LZ_RAYBN,2017,01,23.39032301480485
530,LZ_RAYBN,2017,02,20.381594634873323
531,LZ_RAYBN,2017,03,21.916374663072776
